大分類,小分類,コマンドラインオプション,効果,デフォルト値
トランスポート等,L3 / L4,-4,IPv4 のみ,-
トランスポート等,L3 / L4,-6,IPv6 のみ,-
トランスポート等,L3 / L4,@SERVER,宛先サーバーを指定,/etc/resolv.conf の指定
トランスポート等,L3 / L4,-p PORT,宛先ポートを指定,53 (プロトコルにより 80、443、853)
トランスポート等,L3 / L4,-b ADDRESS[#PORT],送信元アドレス (ポート) を指定,-
トランスポート等,L3 / L4,"+[no]tcp, +[no]vc",TCP を使用,no (IXFR / ANY は yes、AXFR は常に TCP)
トランスポート等,L3 / L4,+[no]keepopen,複数のクエリーを同一 TCP ソケット内で行う,no
トランスポート等,DNS-over-HTTPS (DoH) / DNS-over-TLS (DoT),+[no]https(-post)[=PATH],DoH - HTTPS POST,no (パスは /dns-query)
トランスポート等,DNS-over-HTTPS (DoH) / DNS-over-TLS (DoT),+[no]https-get[=PATH],DoH - HTTPS GET,no (パスは /dns-query)
トランスポート等,DNS-over-HTTPS (DoH) / DNS-over-TLS (DoT),+[no]http-plain(-post)[=PATH],DoH - 平文 HTTP POST,no (パスは /dns-query)
トランスポート等,DNS-over-HTTPS (DoH) / DNS-over-TLS (DoT),+[no]http-plain-get[=PATH],DoH - 平文 HTTP GET,no (パスは /dns-query)
トランスポート等,DNS-over-HTTPS (DoH) / DNS-over-TLS (DoT),+[no]tls,DoT,no
トランスポート等,DNS-over-HTTPS (DoH) / DNS-over-TLS (DoT),+[no]tls-ca[=FILE_NAME],指定した証明書の認証局を信頼,no (グローバル証明書ストア)
トランスポート等,DNS-over-HTTPS (DoH) / DNS-over-TLS (DoT),+[no]tls-hostname=HOSTNAME,証明書を検証する際に用いるサーバ名,@ で指定したサーバー名
トランスポート等,DNS-over-HTTPS (DoH) / DNS-over-TLS (DoT),+[no]tls-certfile=FILE_NAME,クライアント証明書ファイルを指定,no 
トランスポート等,DNS-over-HTTPS (DoH) / DNS-over-TLS (DoT),+[no]tls-keyfile=FILE_NAME,クライアント証明書の秘密鍵ファイルを指定,no 
トランスポート等,再試行等,+tries=VALUE,試行回数を指定,3
トランスポート等,再試行等,+retry=VALUE,再試行回数を指定,2
トランスポート等,再試行等,+timeout=VALUE,タイムアウト秒数を指定,5
トランスポート等,再試行等,+[no]ignore,TC フラグ受信時 TCP で再試行しない,no (TCP で再試行する)
トランスポート等,再試行等,+[no]fail,SERVFAIL 受信時に次のサーバーに再試行,no
トランスポート等,再試行等,+[no]ednsnegotiation,EDNS バージョンネゴシエーションを行う,yes
トランスポート等,再試行等,+[no]badcookie,BADCOOKIE 受信時に新しいサーバークッキーで再試行,yes
